,Production Index Machinery & Electricals,Shipments Index Machinery & Electricals,Electrical equipment
2004m2,17,17,
2004m3,24,24,
2004m4,24,24,
2004m5,24,24,
2004m6,27,27,
2004m7,24,24,
2004m8,24,24,
2004m9,26,26,
2004m10,25,25,
2004m11,27,27,
2004m12,33,33,
2005m1,22,22,
2005m2,22,22,
2005m3,30,30,
2005m4,30,30,
2005m5,33,33,
2005m6,36,36,
2005m7,31,31,
2005m8,31,31,
2005m9,33,33,
2005m10,34,34,
2005m11,38,38,
2005m12,44,44,
2006m1,28,28,93
2006m2,28,28,93
2006m3,38,38,95
2006m4,39,39,94
2006m5,41,41,98
2006m6,46,46,99
2006m7,40,40,99
2006m8,43,43,100
2006m9,46,46,100
2006m10,44,44,100
2006m11,46,46,99
2006m12,55,55,99
2007m1,37,37,100
2007m2,37,37,99
2007m3,52,52,100
2007m4,52,52,100
2007m5,52,52,101
2007m6,56,56,102
2007m7,56,56,102
2007m8,56,56,102
2007m9,59,59,102
2007m10,59,59,102
2007m11,59,59,101
2007m12,52,52,101
2008m1,48,48,101
2008m2,48,48,101
2008m3,68,68,102
2008m4,68,68,102
2008m5,68,68,103
2008m6,72,72,104
2008m7,72,72,104
2008m8,72,72,104
2008m9,69,69,104
2008m10,69,69,102
2008m11,69,69,100
2008m12,66,66,98
2009m1,51,51,95
2009m2,51,51,95
2009m3,74,74,95
2009m4,74,74,95
2009m5,74,74,96
2009m6,82,82,97
2009m7,82,82,97
2009m8,82,82,98
2009m9,86,86,99
2009m10,86,86,99
2009m11,86,86,99
2009m12,75,75,99
2010m1,69,69,98
2010m2,69,69,99
2010m3,99,99,99
2010m4,99,99,99
2010m5,99,99,100
2010m6,107,107,100
2010m7,107,107,100
2010m8,107,107,100
2010m9,114,114,101
2010m10,114,114,101
2010m11,114,114,101
2010m12,100,100,102
2011m1,85,85,102
2011m2,85,85,103
2011m3,117,117,103
2011m4,115,115,103
2011m5,121,121,104
2011m6,134,134,104
2011m7,117,117,105
2011m8,120,120,104
2011m9,127,127,104
2011m10,123,123,103
2011m11,130,130,102
2011m12,146,146,101
2012m1,95,95,101
2012m2,95,95,101
2012m3,131,131,101
2012m4,124,124,101
2012m5,130,130,101
2012m6,146,146,101
2012m7,125,125,101
2012m8,129,129,101
2012m9,138,138,101
2012m10,134,134,100
2012m11,147,147,100
2012m12,166,166,99
2013m1,107,107,99
2013m2,107,107,100
2013m3,152,152,99
2013m4,146,146,99
2013m5,155,155,99
2013m6,164,164,99
2013m7,142,142,99
2013m8,147,147,99
2013m9,160,160,99
2013m10,158,158,99
2013m11,173,173,98
2013m12,194,194,98
2014m1,122,122,98
2014m2,122,122,98
2014m3,168,168,97
2014m4,156,156,97
2014m5,165,165,98
2014m6,182,182,98
2014m7,161,161,99
2014m8,158,158,98
2014m9,177,177,98
2014m10,170,170,98
2014m11,179,179,97
2014m12,201,201,97
2015m1,128,128,96
2015m2,128,128,96
2015m3,173,173,96
2015m4,157,157,96
2015m5,167,167,96
2015m6,190,190,97
2015m7,167,167,97
2015m8,167,167,96
2015m9,179,179,96
2015m10,174,174,96
2015m11,183,183,94
2015m12,203,203,94
2016m1,134,134,94
2016m2,134,134,94
2016m3,183,183,94
2016m4,163,163,94
2016m5,181,181,94
2016m6,200,200,95
2016m7,174,174,95
2016m8,174,174,95
2016m9,180,180,94
2016m10,182,182,94
2016m11,195,195,94
2016m12,215,215,95
2017m1,147,147,95
2017m2,147,147,95
2017m3,204,204,95
2017m4,181,181,95
2017m5,206,206,96
2017m6,231,231,96
2017m7,193,193,97
2017m8,190,190,97
2017m9,191,191,97
2017m10,204,204,97
2017m11,201,201,97
2017m12,238,238,96
2018m1,164,164,97
2018m2,164,164,97
2018m3,227,227,96
2018m4,210,210,96
2018m5,221,221,97
2018m6,244,244,97
2018m7,208,208,97
2018m8,198,198,97
2018m9,199,199,97
2018m10,212,212,96
2018m11,221,221,95
2018m12,242,242,95
2019m1,176,176,95
2019m2,176,176,95
2019m3,262,262,94
2019m4,220,220,94
2019m5,234,234,94
2019m6,261,261,95
2019m7,217,217,95
2019m8,208,208,95
2019m9,216,216,95
2019m10,227,227,94
2019m11,241,241,93
2019m12,263,263,93
2020m1,130,130,93
2020m2,130,130,93
2020m3,255,255,92
2020m4,241,241,90
2020m5,256,256,91
2020m6,283,283,92
2020m7,244,244,92
2020m8,233,233,92
2020m9,244,244,92
2020m10,258,258,92
2020m11,274,274,91
2020m12,296,296,92
2021m1,215,215,92
2021m2,215,215,92
2021m3,310,310,93
2021m4,282,282,93
2021m5,292,292,95
2021m6,322,322,97
2021m7,264,264,98
2021m8,254,254,98
2021m9,259,259,98
2021m10,270,270,99
2021m11,292,292,98
2021m12,311,311,98
2022m1,236,236,98
2022m2,236,236,99
2022m3,329,329,99
2022m4,267,267,99
